Customer ID,State,Treatment Group
0,VA,No Mail
1,VA,Mail
2,VA,Mail
3,OH,Mail
4,OH,Mail
5,GA,No Mail
6,OH,Mail
7,OH,Mail
8,OH,Mail
9,VA,Mail
10,OH,Mail
11,OH,Mail
12,OH,No Mail
13,OH,No Mail
14,VA,Mail
15,GA,Mail
16,OH,Mail
17,GA,No Mail
18,OH,No Mail
19,GA,Mail
20,VA,No Mail
21,GA,No Mail
22,GA,Mail
23,GA,No Mail
24,VA,Mail
25,VA,No Mail
26,VA,Mail
27,OH,Mail
28,VA,No Mail
29,VA,Mail
30,GA,No Mail
31,VA,No Mail
32,OH,No Mail
33,OH,Mail
34,OH,No Mail
35,VA,No Mail
36,GA,No Mail
37,OH,Mail
38,GA,No Mail
39,GA,Mail
40,OH,No Mail
41,OH,No Mail
42,VA,No Mail
43,VA,Mail
44,GA,Mail
45,VA,No Mail
46,VA,No Mail
47,OH,No Mail
48,GA,No Mail
49,OH,Mail
50,GA,No Mail
51,OH,Mail
52,OH,No Mail
53,GA,Mail
54,VA,Mail
55,GA,No Mail
56,OH,No Mail
57,GA,No Mail
58,GA,Mail
59,VA,No Mail
60,GA,Mail
61,VA,No Mail
62,VA,No Mail
63,OH,Mail
64,OH,No Mail
65,OH,No Mail
66,GA,Mail
67,OH,Mail
68,OH,No Mail
69,OH,No Mail
70,OH,No Mail
71,GA,Mail
72,GA,No Mail
73,VA,Mail
74,GA,No Mail
75,GA,Mail
76,GA,No Mail
77,VA,Mail
78,OH,Mail
79,GA,Mail
80,GA,Mail
81,OH,Mail
82,VA,No Mail
83,OH,Mail
84,OH,Mail
85,VA,Mail
86,GA,Mail
87,GA,Mail
88,OH,Mail
89,GA,No Mail
90,VA,No Mail
91,VA,No Mail
92,OH,No Mail
93,OH,No Mail
94,VA,No Mail
95,OH,Mail
96,GA,No Mail
97,OH,Mail
98,GA,No Mail
99,OH,Mail
100,GA,Mail
101,OH,No Mail
102,GA,No Mail
103,GA,Mail
104,VA,Mail
105,VA,Mail
106,VA,Mail
107,OH,Mail
108,OH,Mail
109,GA,Mail
110,OH,Mail
111,VA,Mail
112,GA,Mail
113,OH,Mail
114,VA,No Mail
115,GA,No Mail
116,GA,Mail
117,GA,Mail
118,GA,Mail
119,OH,Mail
120,VA,No Mail
121,OH,No Mail
122,GA,Mail
123,GA,No Mail
124,OH,Mail
125,OH,Mail
126,OH,No Mail
127,GA,Mail
128,OH,Mail
129,VA,No Mail
130,GA,No Mail
131,OH,No Mail
132,OH,No Mail
133,VA,Mail
134,VA,No Mail
135,OH,No Mail
136,VA,Mail
137,VA,Mail
138,GA,Mail
139,GA,No Mail
140,GA,Mail
141,VA,No Mail
142,OH,No Mail
143,GA,No Mail
144,GA,No Mail
145,VA,Mail
146,OH,No Mail
147,OH,Mail
148,VA,No Mail
149,OH,Mail
150,VA,Mail
151,OH,No Mail
152,GA,No Mail
153,OH,Mail
154,OH,No Mail
155,GA,No Mail
156,OH,No Mail
157,VA,No Mail
158,OH,No Mail
159,VA,No Mail
160,OH,No Mail
161,GA,Mail
162,GA,No Mail
163,VA,No Mail
164,VA,Mail
165,OH,No Mail
166,VA,No Mail
167,OH,Mail
168,OH,Mail
169,OH,No Mail
170,VA,Mail
171,GA,Mail
172,GA,Mail
173,VA,Mail
174,OH,Mail
175,GA,No Mail
176,VA,No Mail
177,OH,Mail
178,VA,Mail
179,OH,Mail
180,GA,No Mail
181,OH,No Mail
182,OH,No Mail
183,GA,Mail
184,OH,No Mail
185,GA,Mail
186,GA,Mail
187,OH,No Mail
188,OH,No Mail
189,OH,No Mail
190,GA,No Mail
191,GA,Mail
192,VA,Mail
193,GA,Mail
194,VA,No Mail
195,GA,Mail
196,VA,No Mail
197,VA,Mail
198,GA,Mail
199,VA,Mail
200,VA,No Mail
201,VA,Mail
202,OH,No Mail
203,GA,Mail
204,VA,Mail
205,OH,Mail
206,VA,Mail
207,GA,No Mail
208,GA,No Mail
209,OH,Mail
210,OH,Mail
211,OH,Mail
212,OH,No Mail
213,OH,No Mail
214,GA,Mail
215,GA,Mail
216,VA,Mail
217,VA,Mail
218,GA,Mail
219,GA,No Mail
220,VA,Mail
221,OH,Mail
222,VA,Mail
223,GA,No Mail
224,OH,Mail
225,GA,Mail
226,OH,Mail
227,GA,Mail
228,GA,Mail
229,VA,Mail
230,VA,No Mail
231,OH,No Mail
232,GA,No Mail
233,GA,No Mail
234,VA,No Mail
235,VA,Mail
236,OH,No Mail
237,GA,No Mail
238,OH,Mail
239,VA,Mail
240,VA,Mail
241,GA,Mail
242,VA,Mail
243,GA,No Mail
244,GA,Mail
245,GA,Mail
246,GA,No Mail
247,GA,Mail
248,GA,Mail
249,VA,No Mail
250,VA,No Mail
251,VA,Mail
252,VA,Mail
253,GA,Mail
254,OH,Mail
255,OH,No Mail
256,GA,No Mail
257,GA,Mail
258,VA,No Mail
259,GA,No Mail
260,GA,Mail
261,VA,Mail
262,GA,Mail
263,GA,Mail
264,GA,No Mail
265,GA,No Mail
266,OH,No Mail
267,OH,Mail
268,GA,No Mail
269,GA,No Mail
270,OH,Mail
271,VA,No Mail
272,VA,Mail
273,VA,Mail
274,GA,No Mail
275,OH,No Mail
276,OH,No Mail
277,GA,No Mail
278,OH,No Mail
279,OH,No Mail
280,OH,No Mail
281,VA,No Mail
282,VA,No Mail
283,VA,No Mail
284,OH,No Mail
285,GA,Mail
286,OH,No Mail
287,OH,Mail
288,OH,Mail
289,OH,Mail
290,VA,No Mail
291,OH,No Mail
292,VA,No Mail
293,VA,Mail
294,OH,No Mail
295,OH,No Mail
296,OH,No Mail
297,GA,No Mail
298,GA,Mail
299,OH,No Mail
300,OH,No Mail
301,OH,No Mail
302,OH,Mail
303,OH,Mail
304,VA,Mail
305,OH,Mail
306,GA,Mail
307,OH,No Mail
308,VA,No Mail
309,OH,Mail
310,OH,Mail
311,OH,Mail
312,VA,No Mail
313,VA,Mail
314,GA,No Mail
315,GA,Mail
316,GA,Mail
317,GA,Mail
318,GA,No Mail
319,GA,Mail
320,VA,No Mail
321,OH,Mail
322,GA,No Mail
323,VA,Mail
324,OH,Mail
325,VA,Mail
326,GA,No Mail
327,OH,Mail
328,VA,Mail
329,OH,No Mail
330,OH,Mail
331,GA,Mail
332,GA,Mail
333,OH,No Mail
334,OH,Mail
335,GA,No Mail
336,VA,No Mail
337,OH,Mail
338,VA,Mail
339,OH,Mail
340,GA,Mail
341,OH,Mail
342,GA,No Mail
343,VA,Mail
344,GA,Mail
345,GA,No Mail
346,GA,Mail
347,VA,Mail
348,GA,Mail
349,VA,Mail
350,GA,No Mail
351,OH,No Mail
352,GA,No Mail
353,VA,No Mail
354,VA,No Mail
355,VA,Mail
356,OH,Mail
357,OH,No Mail
358,VA,Mail
359,OH,Mail
360,OH,Mail
361,VA,Mail
362,GA,No Mail
363,GA,No Mail
364,GA,Mail
365,GA,Mail
366,GA,No Mail
367,VA,Mail
368,GA,No Mail
369,GA,Mail
370,VA,Mail
371,VA,Mail
372,OH,Mail
373,OH,Mail
374,OH,No Mail
375,GA,No Mail
376,VA,No Mail
377,OH,No Mail
378,GA,No Mail
379,OH,No Mail
380,GA,Mail
381,OH,No Mail
382,OH,No Mail
383,VA,No Mail
384,GA,Mail
385,GA,Mail
386,VA,Mail
387,OH,Mail
388,OH,No Mail
389,OH,No Mail
390,VA,No Mail
391,GA,Mail
392,VA,No Mail
393,OH,Mail
394,VA,No Mail
395,OH,No Mail
396,OH,Mail
397,GA,Mail
398,VA,No Mail
399,OH,Mail
400,OH,No Mail
401,VA,Mail
402,VA,Mail
403,VA,Mail
404,GA,Mail
405,VA,No Mail
406,OH,Mail
407,GA,Mail
408,VA,Mail
409,OH,No Mail
410,GA,Mail
411,OH,Mail
412,VA,No Mail
413,GA,Mail
414,OH,Mail
415,OH,No Mail
416,VA,Mail
417,OH,Mail
418,OH,No Mail
419,VA,Mail
420,GA,Mail
421,GA,No Mail
422,VA,Mail
423,VA,Mail
424,OH,Mail
425,VA,Mail
426,OH,No Mail
427,GA,No Mail
428,GA,Mail
429,OH,No Mail
430,OH,Mail
431,GA,Mail
432,OH,No Mail
433,GA,Mail
434,VA,Mail
435,GA,No Mail
436,VA,No Mail
437,GA,No Mail
438,VA,Mail
439,OH,Mail
440,OH,Mail
441,GA,Mail
442,GA,Mail
443,GA,Mail
444,GA,Mail
445,OH,No Mail
446,OH,No Mail
447,OH,No Mail
448,OH,No Mail
449,OH,No Mail
450,GA,Mail
451,OH,Mail
452,VA,Mail
453,OH,No Mail
454,VA,Mail
455,VA,No Mail
456,GA,Mail
457,OH,No Mail
