Product ID,Category,Color,Season,Price,Share Returned,Profit Per Product
0,Knit,Red,Fall,4.92,0.53,2.84
1,Knit,Brown,Fall,5.16,0.39,3.08
2,Knit,Blue,Fall,5.21,0.49,3.13
3,Knit,Grey,Fall,5.09,0.52,3.01
4,Knit,Green,Winter,3.56,0.34,1.25
5,Dresses,Grey,Fall,12.05,0.65,8.91
6,Knit,Grey,Winter,3.46,0.57,1.38
7,Knit,White,Summer,6.32,0.56,3.72
8,Knit,Red,Summer,5.44,0.22,3.74
9,Knit,Grey,Summer,3.65,0.89,1.56
10,Knit,Pink,Winter,4.78,0.47,2.18
11,Knit,White,Winter,4.65,0.29,2.34
12,Dresses,Blue,Summer,11.0,0.69,7.06
13,Knit,Blue,Fall,4.18,0.39,1.87
14,Knit,Red,Winter,2.23,0.37,0.21
15,Knit,Blue,Winter,2.65,0.58,0.63
16,Dresses,Black,Winter,8.28,0.53,5.14
17,Dresses,Grey,Summer,10.48,0.55,7.35
18,Dresses,Blue,Fall,10.75,0.53,7.61
19,Knit,Black,Summer,3.51,0.0,2.38
20,Knit,Grey,Summer,3.64,0.22,2.51
21,Knit,Brown,Summer,6.23,0.59,3.63
22,Dresses,Red,Summer,11.3,0.84,7.05
23,Dresses,Brown,Spring,12.3,0.68,9.16
24,Dresses,Grey,Summer,9.45,0.71,6.31
25,Dresses,Grey,Summer,10.54,0.79,7.4
26,Dresses,Red,Summer,11.28,0.78,8.14
27,Dresses,Red,Fall,12.78,0.64,9.64
28,Dresses,Black,Fall,10.89,0.78,7.75
29,Dresses,White,Summer,7.65,0.75,4.51
30,Dresses,Pink,Spring,10.29,0.72,7.15
31,Dresses,Blue,Spring,12.3,0.85,9.16
32,Dresses,Blue,Summer,10.23,0.69,7.09
33,Dresses,Blue,Summer,11.91,0.74,7.1
34,Dresses,Red,Summer,11.12,0.6,7.98
35,Dresses,Blue,Summer,10.74,0.68,6.56
36,Dresses,Grey,Winter,8.93,0.78,5.8
37,Dresses,Red,Spring,8.73,0.77,5.6
38,Dresses,Red,Spring,11.87,0.69,8.73
39,Dresses,Blue,Summer,10.09,0.83,6.95
40,Dresses,Blue,Summer,7.13,0.5,4.0
41,Dresses,Grey,Spring,8.48,0.61,5.34
42,Dresses,Grey,Summer,10.76,0.54,7.62
43,Dresses,Red,Summer,7.92,0.75,4.78
44,Dresses,Red,Summer,10.91,0.74,7.77
45,Dresses,Blue,Fall,14.79,0.78,11.66
46,Dresses,Green,Spring,7.71,0.74,4.57
